id,usuario,fecha,texto,texto_limpio,categoria,puntuacion
33,,2026-06-17,"2,04485E+18 Gossip Lima CALLA PAJERO, NO HICISTE NI MIERDA Y AHORA TE CREES LA GRAN COSA. 16/04/2026 13:42 1 0 2 100 0 1117 Todo el chisme lo encuentras aquí ?? Tienes algo que contar? mándanos un DM VERDADERO 23/05/2020 7:43 11541 39 1165 489 1483 FALSO FALSO",2 04485e 18 gossip lima calla pajero no hiciste ni mierda y ahora te crees la gran cosa 16 04 2026 13 42 1 0 2 100 0 1117 todo el chisme lo encuentras aquí tienes algo que contar mándanos un dm verdadero 23 05 2020 7 43 11541 39 1165 489 1483 falso falso,negativo,-0.3636
40,,2026-06-17,"2,04484E+18 Críticademónica Si gana Sánchez se cae tu blindaje y vas preso 16/04/2026 12:48 0 0 4 51 0 476 ""De izquierda, desde 1977",2 04484e 18 críticademónica si gana sánchez se cae tu blindaje y vas preso 16 04 2026 12 48 0 0 4 51 0 476 de izquierda desde 1977,negativo,-0.6897
41,,2026-06-17,"Comunicadora y crítica de cine. Catlover."" FALSO 27/07/2012 13:58 Lima, Perú 10552 2759 62296 6179 44465 FALSO FALSO",comunicadora y crítica de cine catlover falso 27 07 2012 13 58 lima perú 10552 2759 62296 6179 44465 falso falso,negativo,-0.9524
45,,2026-06-17,"2,04478E+18 Christian Sánchez wuao tu debiste estar en la Presidencia hoy, asegurando unas elecciones transparentes, lamento que rafael cometiera el error de no apoyarte, el proceso electoral sería distinto y transparente. 16/04/2026 9:25 0 0 0 42 1 759 FALSO 26/05/2014 18:38 195 676 46362 3 34241 FALSO FALSO",2 04478e 18 christian sánchez wuao tu debiste estar en la presidencia hoy asegurando unas elecciones transparentes lamento que rafael cometiera el error de no apoyarte el proceso electoral sería distinto y transparente 16 04 2026 9 25 0 0 0 42 1 759 falso 26 05 2014 18 38 195 676 46362 3 34241 falso falso,negativo,-0.3509
50,,2026-06-17,"2,04479E+18 Roy Alta_peru Oye Pajero, ya lo salaste al chancho 16/04/2026 9:50 0 0 1 33 0 242 Empresario AgroIndustrial, no me gustan Las Injusticias Y Detesto a Todos Los Corruptos Vengan de donde Vengan, OK!. Chiclayo, Perú. VERDADERO 26/09/2025 23:20 2937 35 15361 3809 14279 FALSO VERDADERO",2 04479e 18 roy alta peru oye pajero ya lo salaste al chancho 16 04 2026 9 50 0 0 1 33 0 242 empresario agroindustrial no me gustan las injusticias y detesto a todos los corruptos vengan de donde vengan ok chiclayo perú verdadero 26 09 2025 23 20 2937 35 15361 3809 14279 falso verdadero,negativo,-1.2281
52,,2026-06-17,"2,04479E+18 Adrian Reynoso Por las huevas te vacaron, esperemos quien sabe más adelante tu futuro político sea auspicioso, claro sin pendejadas ni andar contratando ???? a diestra y siniestra. 16/04/2026 9:43 3 0 1 30 0 313 ""Políticamente incorrecto, no se si soy de derecha, pero definitivamente de izquierda ni cagando.",2 04479e 18 adrian reynoso por las huevas te vacaron esperemos quien sabe más adelante tu futuro político sea auspicioso claro sin pendejadas ni andar contratando a diestra y siniestra 16 04 2026 9 43 3 0 1 30 0 313 políticamente incorrecto no se si soy de derecha pero definitivamente de izquierda ni cagando,negativo,-0.5455
57,,2026-06-17,"2,04482E+18 El Tigre Velasco Corrupto violín de mierda 16/04/2026 11:51 0 0 1 28 0 247 Arriba siempre arriba hasta las estrellas FALSO 04/04/2013 18:13 Lima 15174 216 74098 7215 70541 FALSO FALSO",2 04482e 18 el tigre velasco corrupto violín de mierda 16 04 2026 11 51 0 0 1 28 0 247 arriba siempre arriba hasta las estrellas falso 04 04 2013 18 13 lima 15174 216 74098 7215 70541 falso falso,muy negativo,-2.122
58,,2026-06-17,"2,04483E+18 Kay ???? Sólo tenías que evitar a las amigas y todo bien José. Estoy segura que no hubieras permitido este fraude. 16/04/2026 12:34 0 0 1 28 1 219 ?????? VERDADERO 08/11/2021 1:15 7449 1595 124207 1288 23546 FALSO VERDADERO",2 04483e 18 kay sólo tenías que evitar a las amigas y todo bien josé estoy segura que no hubieras permitido este fraude 16 04 2026 12 34 0 0 1 28 1 219 verdadero 08 11 2021 1 15 7449 1595 124207 1288 23546 falso verdadero,negativo,-0.2128
59,,2026-06-17,"2,04479E+18 Infiltrado Si huevonazo, dos candidatos que juntos no pasan el 30% son ?la representación del país? 16/04/2026 9:34 2 0 0 24 0 298 Maldito sea el estado terrorista israelí FALSO 31/03/2015 23:44 394 183 94637 169 12818 FALSO FALSO",2 04479e 18 infiltrado si huevonazo dos candidatos que juntos no pasan el 30 son la representación del país 16 04 2026 9 34 2 0 0 24 0 298 maldito sea el estado terrorista israelí falso 31 03 2015 23 44 394 183 94637 169 12818 falso falso,negativo,-0.6122
65,,2026-06-17,"Mejor preocúpate en arreglar tus lios judiciales, limpia primero tu mugre antes de querer defender a un marrano."" 16/04/2026 9:49 0 0 2 17 0 192 Lucha contra la corrupción, antifujimorista hasta el final de mis días. Ah!! también CAVIAR!!! FALSO 19/07/2017 23:42 1738 1277 236305 5695 134184 FALSO FALSO",mejor preocúpate en arreglar tus lios judiciales limpia primero tu mugre antes de querer defender a un marrano 16 04 2026 9 49 0 0 2 17 0 192 lucha contra la corrupción antifujimorista hasta el final de mis días ah también caviar falso 19 07 2017 23 42 1738 1277 236305 5695 134184 falso falso,negativo,-0.5357
67,,2026-06-17,"Para presidente votan por Roberto Sanchez, pero para el Congreso votan por Rafael López Aliaga. Solo me queda decir lo siguiente """"ONPE haz bien tu fraude que se nota"""". 16/04/2026 11:14 3 0 3 15 1 907 FALSO 21/02/2012 20:50 Lima - Peru 336 1186 37038 352 31742 FALSO FALSO",para presidente votan por roberto sanchez pero para el congreso votan por rafael lópez aliaga solo me queda decir lo siguiente onpe haz bien tu fraude que se nota 16 04 2026 11 14 3 0 3 15 1 907 falso 21 02 2012 20 50 lima peru 336 1186 37038 352 31742 falso falso,negativo,-0.1818
68,,2026-06-17,"2,04479E+18 EL SHOGUN Osea quieres que nos represente un sujeto que pide que le metan algo por el Kulo al manda mas del Jurado Nacional de Elecciones, a un sujeto que pide que Ejecuten a personas solo por pensar diferente de el, a un sujeto que trata de Mierdas, a mis hermanos del sur, vete a la Mrd. 16/04/2026 9:52 10 0 0 21 0 2402 FALSO 22/01/2011 19:10 Peru 22 265 9825 67 1604 FALSO FALSO",2 04479e 18 el shogun osea quieres que nos represente un sujeto que pide que le metan algo por el kulo al manda mas del jurado nacional de elecciones a un sujeto que pide que ejecuten a personas solo por pensar diferente de el a un sujeto que trata de mierdas a mis hermanos del sur vete a la mrd 16 04 2026 9 52 10 0 0 21 0 2402 falso 22 01 2011 19 10 peru 22 265 9825 67 1604 falso falso,negativo,-0.2353
77,,2026-06-17,"2,0448E+18 El Justiperro. Jajajaja ve este conchadesumadre, con que cara puedes opinar? Peor aún incitando a qué candidato votar en segunda vuelta? Patético 16/04/2026 10:13 0 0 0 15 0 210 digo lo que quiero, detesto la injusticia, me llegan al pncho las personas sin humildad, amante del fútbol y los perros. FALSO 11/11/2022 20:25 perulandia 60 487 16808 805 10412 FALSO FALSO",2 0448e 18 el justiperro jajajaja ve este conchadesumadre con que cara puedes opinar peor aún incitando a qué candidato votar en segunda vuelta patético 16 04 2026 10 13 0 0 0 15 0 210 digo lo que quiero detesto la injusticia me llegan al pncho las personas sin humildad amante del fútbol y los perros falso 11 11 2022 20 25 perulandia 60 487 16808 805 10412 falso falso,negativo,-0.4225
78,,2026-06-17,"2,0448E+18 Julio Cesar Romero Lo que opine o quiera un violador no le interesa a la ciudadanía. 16/04/2026 10:13 0 0 0 14 0 80 VERDADERO 28/05/2019 15:59 2401 5022 38747 557 62426 FALSO FALSO",2 0448e 18 julio cesar romero lo que opine o quiera un violador no le interesa a la ciudadanía 16 04 2026 10 13 0 0 0 14 0 80 verdadero 28 05 2019 15 59 2401 5022 38747 557 62426 falso falso,negativo,-0.6977
79,,2026-06-17,"2,0448E+18 SolOrtega "" Cínico miserable!",2 0448e 18 solortega cínico miserable,muy negativo,-8.3333
80,,2026-06-17,"Uds estando 5 años en este congreso de delincuentes, jamás hicieron algo, menos legislaron para esa gente de la que hoy te llenas la boca en nombrar. Quieres a esos dos corruptos racistas en la final para seguir haciendo tus faenones."" 16/04/2026 10:09 0 0 2 10 0 417 ""Orgullosa de mis raíces, en contra de los corruptos y defensora a muerte de la justicia social!",uds estando 5 años en este congreso de delincuentes jamás hicieron algo menos legislaron para esa gente de la que hoy te llenas la boca en nombrar quieres a esos dos corruptos racistas en la final para seguir haciendo tus faenones 16 04 2026 10 09 0 0 2 10 0 417 orgullosa de mis raíces en contra de los corruptos y defensora a muerte de la justicia social,negativo,-1.3043
85,,2026-06-17,"2,04479E+18 Mari?? ?? ?? Si tan solo hubieras controlado tus hormonas Pajeri y no reunirte con los chinos saqueadores 16/04/2026 9:34 0 0 1 10 0 54 ""NO dms",2 04479e 18 mari si tan solo hubieras controlado tus hormonas pajeri y no reunirte con los chinos saqueadores 16 04 2026 9 34 0 0 1 10 0 54 no dms,negativo,-0.9375
91,,2026-06-17,"2,0448E+18 Eliana O.?? Calla pajero de mierda!!! 16/04/2026 10:14 0 0 0 10 0 98 ?????? Lima//NYC ???? AL/LGM/Knicks ?? Sneaker Freak ???? Frida Kahlo ?? Isabel Allende ?? CUNY York Alumni ????? FALSO 17/03/2014 21:05 Queens, NY 2980 1002 142400 2517 58382 FALSO FALSO",2 0448e 18 eliana o calla pajero de mierda 16 04 2026 10 14 0 0 0 10 0 98 lima nyc al lgm knicks sneaker freak frida kahlo isabel allende cuny york alumni falso 17 03 2014 21 05 queens ny 2980 1002 142400 2517 58382 falso falso,negativo,-1.6327
93,,2026-06-17,"2,04478E+18 Jnk BarZev ????????????????????????? Calla PAJERO!!! E IMPOTENTE!!! 16/04/2026 9:27 0 0 0 10 0 91 ""Licenciado en Educación y Relaciones Públicas, #Docente de educación secundaria en Ciencia y Tecnología ??",2 04478e 18 jnk barzev calla pajero e impotente 16 04 2026 9 27 0 0 0 10 0 91 licenciado en educación y relaciones públicas docente de educación secundaria en ciencia y tecnología,muy negativo,-2.0588
103,,2026-06-17,"2,04479E+18 Carolina S.A. "" La verdad es que RLA y Fujimori forman el pacto mafioso que te llevaron a la presidencia sabiendo tus antecedentes:",2 04479e 18 carolina s a la verdad es que rla y fujimori forman el pacto mafioso que te llevaron a la presidencia sabiendo tus antecedentes,negativo,-1.1538
104,,2026-06-17,INVESTIGADO POR UNA PRESUNTA VIOLACIÓN QUE FUE ARCHIVADA POR EL CUELLO BLANCO DE ALADINO!,investigado por una presunta violación que fue archivada por el cuello blanco de aladino,muy negativo,-2.1429
105,,2026-06-17,"REUNIRTE CON EMPRESARIOS CHINOS QUE ESTÁN INVESTIGADOS POR CORRUPTOS."" 16/04/2026 9:59 0 0 0 8 0 65 Orgullosa de haber nacido en este hermoso Perú!!?????????? VERDADERO 20/08/2009 22:10 418 755 190079 865 190859 FALSO FALSO",reunirte con empresarios chinos que están investigados por corruptos 16 04 2026 9 59 0 0 0 8 0 65 orgullosa de haber nacido en este hermoso perú verdadero 20 08 2009 22 10 418 755 190079 865 190859 falso falso,negativo,-0.7317
107,,2026-06-17,"2,04483E+18 Oxitocina "" ?? tremendo jeropa",2 04483e 18 oxitocina tremendo jeropa,muy negativo,-3.3333
119,,2026-06-17,"2,0449E+18 AGENCIA CONTRACORRUPCCION E INJUSTICIA. ACI PERU "" Que moral tienes JERI, se te pidió sacar al incapaz de SEGUNDO ACHO de ESSALUD,",2 0449e 18 agencia contracorrupccion e injusticia aci peru que moral tienes jeri se te pidió sacar al incapaz de segundo acho de essalud,negativo,-0.8333
121,,2026-06-17,"La gente muere, no hay gestión, deudas, sin Medicinas, sin Tomógrafos. FUISTE UNA MIERDA 16/04/2026 17:08 1 0 1 6 1 456 Institucion que lucha Contra la Corrupccion ACI PERU. VERDADERO 14/07/2021 16:24 921 1139 84 19960 20143 FALSO FALSO",la gente muere no hay gestión deudas sin medicinas sin tomógrafos fuiste una mierda 16 04 2026 17 08 1 0 1 6 1 456 institucion que lucha contra la corrupccion aci peru verdadero 14 07 2021 16 24 921 1139 84 19960 20143 falso falso,negativo,-0.6522
125,,2026-06-17,"2,04479E+18 Rodolfo Carbajal La mierda.... siempre estará al lado de la mierda 16/04/2026 9:54 0 0 0 7 0 63 Psicólogo Social y Educativo, Narrador Oral Escénico, Izquierda, Social Democracia, Servicios Públicos...???????? VERDADERO 14/03/2010 14:17 3374 5232 153269 288 40796 FALSO FALSO",2 04479e 18 rodolfo carbajal la mierda siempre estará al lado de la mierda 16 04 2026 9 54 0 0 0 7 0 63 psicólogo social y educativo narrador oral escénico izquierda social democracia servicios públicos verdadero 14 03 2010 14 17 3374 5232 153269 288 40796 falso falso,negativo,-1.14
136,,2026-06-17,"2,04484E+18 J.C ® ???? Un anormal y un ?? jeropa 16/04/2026 13:11 0 0 0 7 0 203 ""??REGRESÉ??5/11/22?? en contra de corruptos mafiosos enquistados en organizaciones criminales disfrazadas de partidos políticos.",2 04484e 18 j c un anormal y un jeropa 16 04 2026 13 11 0 0 0 7 0 203 regresé 5 11 22 en contra de corruptos mafiosos enquistados en organizaciones criminales disfrazadas de partidos políticos,muy negativo,-2.8947
139,,2026-06-17,"2,04478E+18 Zzz El problema de Perú no es de personas, es de sistema. Tenemos instituciones que incentivan la corrupción y la fragmentación. La solución no es hacer más reformas, sino enfocarse en tres palancas: transparencia radical en el gasto público, una reforma política que reduzca la 16/04/2026 9:25 0 0 1 4 0 705 Heart-led Leader | Tech with Purpose | Builder of Human Connection Here to elevate, unite, and lead with intention FALSO 28/10/2024 0:13 38 173 483 29 501 FALSO VERDADERO",2 04478e 18 zzz el problema de perú no es de personas es de sistema tenemos instituciones que incentivan la corrupción y la fragmentación la solución no es hacer más reformas sino enfocarse en tres palancas transparencia radical en el gasto público una reforma política que reduzca la 16 04 2026 9 25 0 0 1 4 0 705 heart led leader tech with purpose builder of human connection here to elevate unite and lead with intention falso 28 10 2024 0 13 38 173 483 29 501 falso verdadero,negativo,-0.3333
140,,2026-06-17,"2,04479E+18 Bella Fuera mrda 16/04/2026 9:46 0 0 1 4 0 35 FALSO 18/03/2017 1:01 1510 1069 159821 17202 59045 FALSO FALSO",2 04479e 18 bella fuera mrda 16 04 2026 9 46 0 0 1 4 0 35 falso 18 03 2017 1 01 1510 1069 159821 17202 59045 falso falso,negativo,-1.6667
143,,2026-06-17,"2,0448E+18 wanda El violín quiere más impunidad? 16/04/2026 10:29 0 0 1 4 0 43 En política no hay coincidencias, piensa mal y acertarás. Mis opiniones son a título personal! ????. VERDADERO 24/11/2021 22:55 1983 640 10490 1428 17808 FALSO FALSO",2 0448e 18 wanda el violín quiere más impunidad 16 04 2026 10 29 0 0 1 4 0 43 en política no hay coincidencias piensa mal y acertarás mis opiniones son a título personal verdadero 24 11 2021 22 55 1983 640 10490 1428 17808 falso falso,negativo,-1.0417
144,,2026-06-17,"2,04479E+18 José Baltazar Lo dice el lobbysta que pactó con los chinos y sabe Dios con qué empresarios más y que contrató a damicelas con la plata del estado. Caradura. 16/04/2026 9:34 0 0 0 6 0 77 Ciudadano FALSO 16/01/2023 0:21 Lima 40 83 3224 18 15311 FALSO FALSO",2 04479e 18 josé baltazar lo dice el lobbysta que pactó con los chinos y sabe dios con qué empresarios más y que contrató a damicelas con la plata del estado caradura 16 04 2026 9 34 0 0 0 6 0 77 ciudadano falso 16 01 2023 0 21 lima 40 83 3224 18 15311 falso falso,negativo,-0.3448
148,,2026-06-17,"2,04478E+18 Lorem_Ipsum "" Yo también lo espero pero, si fuera tú yo no diría nada.",2 04478e 18 lorem ipsum yo también lo espero pero si fuera tú yo no diría nada,negativo,-1.1765
150,,2026-06-17,"2,04483E+18 IngridTJ?????? A quiene.importa lo que tú pienses oye pedazo de sinvergüenza, dale su membresía de only fans a tus chicas y no jodas más con tu presencia en el país, basura 16/04/2026 12:40 0 0 0 5 0 151 No hay límites para la investigación????????,enseño a quien quiera aprender ???? FALSO 28/07/2018 18:38 Lima, Peru 569 819 101915 177 16981 FALSO FALSO",2 04483e 18 ingridtj a quiene importa lo que tú pienses oye pedazo de sinvergüenza dale su membresía de only fans a tus chicas y no jodas más con tu presencia en el país basura 16 04 2026 12 40 0 0 0 5 0 151 no hay límites para la investigación enseño a quien quiera aprender falso 28 07 2018 18 38 lima peru 569 819 101915 177 16981 falso falso,negativo,-0.6944
156,,2026-06-17,"Si existe justicia tiene q terminar en la cárcel"" 16/04/2026 12:21 0 0 1 3 0 36 FALSO 01/02/2015 21:44 Brussels, Belgium 754 537 48015 2695 41436 FALSO FALSO",si existe justicia tiene q terminar en la cárcel 16 04 2026 12 21 0 0 1 3 0 36 falso 01 02 2015 21 44 brussels belgium 754 537 48015 2695 41436 falso falso,negativo,-0.5714
159,,2026-06-17,"2,04484E+18 Felipe Hidalgo si te retuitea , ya entendemos todo. La gente de mal vivir, los malandros encapuchados, la q se deja agarrar el poto y chapar en el CALLAO por votos, se juntan: Ojalá me muera antes de volver a verlos en politica !! 16/04/2026 13:06 0 0 1 3 0 51 Si ser caviar es lo opuesto a Rospigliosi, López Aliaga, Patty Chirinos, Maricarmen Alva, Cerrón, Mariategui, Pancho de Piérola, etc. entonces soy caviar. VERDADERO 11/03/2012 12:22 49 372 33299 5 29197 FALSO FALSO",2 04484e 18 felipe hidalgo si te retuitea ya entendemos todo la gente de mal vivir los malandros encapuchados la q se deja agarrar el poto y chapar en el callao por votos se juntan ojalá me muera antes de volver a verlos en politica 16 04 2026 13 06 0 0 1 3 0 51 si ser caviar es lo opuesto a rospigliosi lópez aliaga patty chirinos maricarmen alva cerrón mariategui pancho de piérola etc entonces soy caviar verdadero 11 03 2012 12 22 49 372 33299 5 29197 falso falso,negativo,-0.2174
161,,2026-06-17,"2,04481E+18 General Del Aire Alguna cochinada tendrás oculta que quieres que no te inhabiliten por 10 años de la función pública. 16/04/2026 11:08 0 0 0 5 0 42 ""Defensor incondicional de los reporteros maltratados ?? 90% sarcasmo.",2 04481e 18 general del aire alguna cochinada tendrás oculta que quieres que no te inhabiliten por 10 años de la función pública 16 04 2026 11 08 0 0 0 5 0 42 defensor incondicional de los reporteros maltratados 90 sarcasmo,negativo,-0.4762
172,,2026-06-17,"No me sorprende que el que contrataba prostitutas en Palacio de Gobierno apoye al que encubre pederastas, pero igual qué pena, así va mi Perú..."" 16/04/2026 11:01 0 0 0 5 0 313 ""28 ???? VOY A VER A BTS CRJ ????",no me sorprende que el que contrataba prostitutas en palacio de gobierno apoye al que encubre pederastas pero igual qué pena así va mi perú 16 04 2026 11 01 0 0 0 5 0 313 28 voy a ver a bts crj,negativo,-0.2326
176,,2026-06-17,"PD para qué copias al cerdo, buscando protección de la otra banda??"" 16/04/2026 14:43 0 0 0 5 0 33 ""EL PERÚ Primero! ????????",pd para qué copias al cerdo buscando protección de la otra banda 16 04 2026 14 43 0 0 0 5 0 33 el perú primero,negativo,-0.7692
177,,2026-06-17,"Los lugares más oscuros del infierno están reservados para quienes se mantienen neutrales en tiempos de crisis moral (Dante Alighieri)"" VERDADERO 12/11/2020 23:28 Lima, Peru 1623 2938 17654 4470 43842 FALSO FALSO",los lugares más oscuros del infierno están reservados para quienes se mantienen neutrales en tiempos de crisis moral dante alighieri verdadero 12 11 2020 23 28 lima peru 1623 2938 17654 4470 43842 falso falso,negativo,-0.8571
178,,2026-06-17,"2,04492E+18 Jorge Luis "" Calla RCTM sinvergüenza. Keiko y Porky han destrozado el país estos últimos 3 años sin interesarle los más necesitados y vienes a hablar huev...",2 04492e 18 jorge luis calla rctm sinvergüenza keiko y porky han destrozado el país estos últimos 3 años sin interesarle los más necesitados y vienes a hablar huev,muy negativo,-2.4138
181,,2026-06-17,"2,0448E+18 SABI SAAB Entre violines se entienden. 16/04/2026 10:17 0 0 1 2 0 30 FALSO 29/03/2009 23:47 1069 2975 545725 1138 180630 FALSO FALSO",2 0448e 18 sabi saab entre violines se entienden 16 04 2026 10 17 0 0 1 2 0 30 falso 29 03 2009 23 47 1069 2975 545725 1138 180630 falso falso,negativo,-0.9091
183,,2026-06-17,"2,04479E+18 Frank Tonic Calla pajero 16/04/2026 9:36 0 0 0 4 0 32 Tuiteo, luego existo. FALSO 29/10/2009 21:44 687 234 98849 1510 38273 FALSO FALSO",2 04479e 18 frank tonic calla pajero 16 04 2026 9 36 0 0 0 4 0 32 tuiteo luego existo falso 29 10 2009 21 44 687 234 98849 1510 38273 falso falso,negativo,-1.4706
186,,2026-06-17,"2,04479E+18 Fernando No puede haber una real representación nacional si los dos candidatos que pasan a segunda vuelta ni siquiera pasan el 30 % de votación de todos los peruanos. Hay un 70 % que no los quiere. No es tan difícil de entender 16/04/2026 10:07 0 0 0 4 0 349 Abogado FALSO 07/06/2011 0:20 Lima, Perú 95 1865 32670 308 5059 FALSO FALSO",2 04479e 18 fernando no puede haber una real representación nacional si los dos candidatos que pasan a segunda vuelta ni siquiera pasan el 30 de votación de todos los peruanos hay un 70 que no los quiere no es tan difícil de entender 16 04 2026 10 07 0 0 0 4 0 349 abogado falso 07 06 2011 0 20 lima perú 95 1865 32670 308 5059 falso falso,negativo,-0.1408
187,,2026-06-17,"2,0448E+18 Cristián f.s Sigue llendo a los telas de lince,ya sabes pata que 16/04/2026 10:23 0 0 0 4 0 57 Perú lucho porque te quiero, no a la corrupción ?????? FALSO 26/03/2020 22:14 Lima, Peru 2336 2418 140774 6169 359648 FALSO FALSO",2 0448e 18 cristián f s sigue llendo a los telas de lince ya sabes pata que 16 04 2026 10 23 0 0 0 4 0 57 perú lucho porque te quiero no a la corrupción falso 26 03 2020 22 14 lima peru 2336 2418 140774 6169 359648 falso falso,negativo,-0.5769
