id,texto,fecha,usuario
12,"2,04478E+18 andresacm Bien, del lado correcto de la historia, lo llevo a Risso 16/04/2026 9:15 1 0 0 262 1 2580 ?niversitario ???, Patria ???? y Familia ??. Comentarios hechos con el hígado o con la razón, dependiendo la situación. Todo de bromita en caso pregunte un juez FALSO 23/11/2016 18:43 Larco Herrera 111 631 19545 606 14272 FALSO FALSO",2026-06-17,
13,"2,04481E+18 Jim® ¿Estás pidiendo que tu papá y tu mamá pasen a segunda vuelta? ?? 16/04/2026 11:16 1 0 16 221 1 3002 #GoTFans ?? #Geminis ? #Ateo ?? VERDADERO 03/04/2016 19:44 Lima, Peru 4391 1574 260218 26011 118057 FALSO FALSO",2026-06-17,
14,"2,04479E+18 Keiko No Va Ya lo salaste. Es lo que faltaba. Gracias. 16/04/2026 9:38 0 0 6 230 1 2560 Plataforma contra Keiko Fujimori, por ser un pasado nefasto, un presente de continuismo y un futuro lleno de corrupción. VERDADERO 07/03/2016 15:15 Peru 25572 1332 99775 6035 50041 FALSO VERDADERO",2026-06-17,
15,"2,04487E+18 LucyWeird ? ??? Calla ctm 16/04/2026 15:01 0 0 0 4 0 165 (ES/EN) Gaming & Esports content creator ???????? ? League & Esports Partner in Latam #PSL ? contactolucyweird.com VERDADERO 04/06/2009 16:19 Lima, Peru 31543 608 104818 2825 41974 FALSO FALSO",2026-06-17,
16,"2,04479E+18 Pamphlets "" Y si votan?",2026-06-17,
17,"Terruco de mierda quieres guerra civil?"" 16/04/2026 10:07 0 0 0 3 0 449 ?? ??? ???? Free Palestine ??? ?? FALSO 11/04/2022 1:57 Mexico City 199790 14971 125552 36408 74390 FALSO VERDADERO",2026-06-17,
18,"2,04479E+18 César Paredes "" """"para lograr un desarrollo económico sólido y JUSTO... """"",2026-06-17,
19,Sobretodo justo dice ?? la insensatez?? 16/04/2026 9:41 5 0 13 174 2 6160 FALSO 25/08/2011 23:35 Perú ???? 226 274 27526 1823 17394 FALSO FALSO,2026-06-17,
20,"2,04479E+18 Hija-DeSastre La representación a nivel país de RLA. Mira Pajerito, mejor calladito eh. 16/04/2026 9:56 6 0 10 152 1 5019 Corredora, montañista, atea pero respeto la libertad religiosa, luriganchina, 1/2 rimense, con gatijos. FALSO 10/05/2014 16:38 Lima, Peru 298 55 137862 2146 44952 FALSO FALSO",2026-06-17,
21,"2,04478E+18 Aarón Chávez Tenías que estar asumiendo la presidencia tú, en vez de Balcázar ?? 16/04/2026 9:01 0 0 0 138 1 1773 En busca de ideas... ?? FALSO 29/03/2019 0:32 Peru 48 295 8747 59 1054 FALSO FALSO",2026-06-17,
22,"2,04479E+18 Rompecoraza/alefemboy Presi jeri, si le soy sincero, no quiero que gane Keiko, menos Roberto Sánchez, a porky lo podría aceptar, pero si RS pasa a segunda vuelta, gana y lo vacan, su vicepresidenta es una persona que no registra estudios superiores, mi queridísimo Perú está perdido ?? 16/04/2026 9:33 23 0 4 117 4 5208 ""aburrido (cuenta nueva)",2026-06-17,
23,"soy alefemboy para los luisarders, no para nadie más xd",2026-06-17,
24,"6/1 al revez"" VERDADERO 04/01/2026 18:43 16 103 3973 134 298 FALSO FALSO",2026-06-17,
25,"2,04484E+18 Raúl Noblecilla Olaechea Te falta poco para ir preso Jeri ? 16/04/2026 13:21 10 1 10 99 0 972 ??????? abogado del pueblo y de la democracia. VERDADERO 01/08/2019 22:55 Lima, Peru 30008 563 23217 2253 14527 FALSO VERDADERO",2026-06-17,
26,"2,04478E+18 Derechista Comparte si quieres que esta historia termine así. 16/04/2026 9:25 1 0 21 70 1 389 ""Derecha y conservador.",2026-06-17,
27,1) Pro vida,2026-06-17,
28,2) Pro familia,2026-06-17,
29,3) Anti globalista,2026-06-17,
30,4) Defiendo la propiedad privada,2026-06-17,
31,5) Defensor de la Const.,2026-06-17,
32,"6) Iglesia SUD"" FALSO 21/06/2021 17:27 7053 330 81111 20101 90502 FALSO FALSO",2026-06-17,
33,"2,04485E+18 Gossip Lima CALLA PAJERO, NO HICISTE NI MIERDA Y AHORA TE CREES LA GRAN COSA. 16/04/2026 13:42 1 0 2 100 0 1117 Todo el chisme lo encuentras aquí ?? Tienes algo que contar? mándanos un DM VERDADERO 23/05/2020 7:43 11541 39 1165 489 1483 FALSO FALSO",2026-06-17,
34,"2,04478E+18 David Espinoza W. 16/04/2026 9:28 0 0 0 88 0 1970 VERDADERO 10/04/2010 8:55 Lima, Peru 37 605 7640 99 2400 FALSO FALSO",2026-06-17,
35,"2,04478E+18 Mauro Zapatero a su zapato. Tu a las putas y la política a los políticos. Gracias a Fujimori asquerosas alimañas como han llegado al poder. 16/04/2026 9:24 0 0 0 78 1 1708 VERDADERO 11/05/2011 10:31 Peru 88 216 4362 105 967 FALSO FALSO",2026-06-17,
36,"2,04482E+18 El Tigre Velasco 16/04/2026 11:50 0 1 4 64 0 376 Arriba siempre arriba hasta las estrellas FALSO 04/04/2013 18:13 Lima 15174 216 74098 7215 70541 FALSO FALSO",2026-06-17,
37,"2,0448E+18 MC1970 Ok. Ok. Pero lo vas a salar al chancho!! ?????????? 16/04/2026 10:38 1 0 8 53 1 918 Jodas, sarcasmos, memes?? VERDADERO 04/05/2020 23:04 El norte 15975 10244 368732 17443 103483 FALSO FALSO",2026-06-17,
38,"2,04478E+18 Gato Mundial Siempre estuvo del lado correcto Presi. Espero volver a verlo en una contienda política. Crack total, me saludó en el Centro de Lima, buena gente. 16/04/2026 9:04 5 0 0 69 0 1554 FALSO 15/08/2010 1:21 Lima - Peru 129 460 75990 47 1129 FALSO FALSO",2026-06-17,
39,"2,04479E+18 Salud en Casa Una lacra apoyando a otra. 16/04/2026 9:37 0 0 1 62 0 471 Somos un espacio dedicado a la población, mediante consejos de especialistas de salud.. Encuentranos en: FALSO 01/03/2014 13:54 Peru 13784 3953 233337 93403 227502 FALSO FALSO",2026-06-17,
40,"2,04484E+18 Críticademónica Si gana Sánchez se cae tu blindaje y vas preso 16/04/2026 12:48 0 0 4 51 0 476 ""De izquierda, desde 1977",2026-06-17,
41,"Comunicadora y crítica de cine. Catlover."" FALSO 27/07/2012 13:58 Lima, Perú 10552 2759 62296 6179 44465 FALSO FALSO",2026-06-17,
42,"2,04481E+18 Genial FM Si weon 16/04/2026 11:26 4 0 8 32 3 927 ?????? VERDADERO 07/10/2021 8:00 35 125 4465 1116 5771 FALSO FALSO",2026-06-17,
43,"2,0448E+18 Porky haciendo un trio con Antauro y Makanaky A ver dale curso a esta alpaca 16/04/2026 10:24 11 0 1 44 2 1831 VERDADERO 22/01/2021 4:35 Tu poto 32 440 897 255 4723 FALSO FALSO",2026-06-17,
44,"2,04479E+18 Ernesto Lima Esto de ser pipileptico te bloquea la mente... 16/04/2026 9:47 0 0 0 45 0 956 Si el tiempo pasa, es olvido en ocasiones, en otras es el mejor testigo y a veces el peor verdugo... FALSO 14/09/2021 21:24 68 415 13111 1461 6049 FALSO FALSO",2026-06-17,
45,"2,04478E+18 Christian Sánchez wuao tu debiste estar en la Presidencia hoy, asegurando unas elecciones transparentes, lamento que rafael cometiera el error de no apoyarte, el proceso electoral sería distinto y transparente. 16/04/2026 9:25 0 0 0 42 1 759 FALSO 26/05/2014 18:38 195 676 46362 3 34241 FALSO FALSO",2026-06-17,
46,"2,0448E+18 John Carter "" Francamente, los peruanos si que son de campeonato como para encerrarlos en un laboratorio &amp; estudiarlos de por vida...",2026-06-17,
47,despues de lo que ha hecho &amp; no ha hecho este sujeto,2026-06-17,
48,¿todavia le dan bola?,2026-06-17,
49,es simplemente increible... 16/04/2026 10:43 0 0 5 29 1 687 FALSO 29/10/2013 14:08 368 280 159084 14187 103446 FALSO FALSO,2026-06-17,
50,"2,04479E+18 Roy Alta_peru Oye Pajero, ya lo salaste al chancho 16/04/2026 9:50 0 0 1 33 0 242 Empresario AgroIndustrial, no me gustan Las Injusticias Y Detesto a Todos Los Corruptos Vengan de donde Vengan, OK!. Chiclayo, Perú. VERDADERO 26/09/2025 23:20 2937 35 15361 3809 14279 FALSO VERDADERO",2026-06-17,
51,"2,0448E+18 Gilda Trkovic Felicitaciones, a pesar de que propicio su vacancia, personalmente creo injusta, es Ud un político que pone primero al PERÚ, antes que los resentimientos propios de políticos aventureros. 16/04/2026 10:35 0 0 1 30 0 291 Católica, PERUANA CROATA, Quechua hablante, madre, abuela y bis abuela, amante de la naturaleza, música y la poesía caminante, DERECHA. FALSO 09/08/2015 20:05 13378 1125 171890 3124 461336 FALSO FALSO",2026-06-17,
52,"2,04479E+18 Adrian Reynoso Por las huevas te vacaron, esperemos quien sabe más adelante tu futuro político sea auspicioso, claro sin pendejadas ni andar contratando ???? a diestra y siniestra. 16/04/2026 9:43 3 0 1 30 0 313 ""Políticamente incorrecto, no se si soy de derecha, pero definitivamente de izquierda ni cagando.",2026-06-17,
53,#TerrorismoNuncaMas,2026-06-17,
54,#ComunismoNuncaMas,2026-06-17,
55,"??????"" FALSO 18/12/2013 17:42 Lima, Ciudad de Los Reyes 4303 3534 1003905 3091 105559 FALSO FALSO",2026-06-17,
56,"2,04478E+18 Diego Postigo Tu tienes la culpa de esto. Caíste en la trampa del partido comunista chino. Tenías que asegurar elecciones transparentes y no bajo la mano de Perú Libre. Tu conoces bien cómo se mueve eso, mejor quédate callado que tu imagen y reputación pública afecta a la derecha. 16/04/2026 8:58 4 0 0 30 0 1931 Arequipeño y abogado. Eternamente enamorado de mi Chinita, mi K ?? FALSO 08/01/2018 22:51 38 176 3623 95 1026 FALSO FALSO",2026-06-17,
57,"2,04482E+18 El Tigre Velasco Corrupto violín de mierda 16/04/2026 11:51 0 0 1 28 0 247 Arriba siempre arriba hasta las estrellas FALSO 04/04/2013 18:13 Lima 15174 216 74098 7215 70541 FALSO FALSO",2026-06-17,
58,"2,04483E+18 Kay ???? Sólo tenías que evitar a las amigas y todo bien José. Estoy segura que no hubieras permitido este fraude. 16/04/2026 12:34 0 0 1 28 1 219 ?????? VERDADERO 08/11/2021 1:15 7449 1595 124207 1288 23546 FALSO VERDADERO",2026-06-17,
59,"2,04479E+18 Infiltrado Si huevonazo, dos candidatos que juntos no pasan el 30% son ?la representación del país? 16/04/2026 9:34 2 0 0 24 0 298 Maldito sea el estado terrorista israelí FALSO 31/03/2015 23:44 394 183 94637 169 12818 FALSO FALSO",2026-06-17,
60,"2,04479E+18 Carlos Osorio G. "" Cómo si una elección se tratara de deseos personales ???????",2026-06-17,
61,"Con razón sus primeras acciones en el sillón presidencial fueron hacer casting de señoritas que conoció en Risso, y agendar encuentros en sillones tantra.",2026-06-17,
62,"El concepto de democracia llevado a sus bajos deseos."" 16/04/2026 9:56 0 0 2 18 0 287 Tecnología y temas de interés. Mis debilidades: Deporte y lectura. Papá de mellizos. FALSO 20/10/2009 20:01 Lima - Perú 869 652 402390 1889 32502 FALSO FALSO",2026-06-17,
63,"2,04482E+18 Pilar B 16/04/2026 11:27 0 0 3 15 1 658 Apoyar la Igualdad de derechos y deberes para todos, Libertad y Progreso. Crianza positiva, salud mental. FALSO 31/10/2021 12:19 348 906 94626 912 17115 FALSO FALSO",2026-06-17,
64,"2,04479E+18 Roxana de Rojas "" Oye lambiscón, tu opinión es para asegurarte un puestito?.",2026-06-17,
65,"Mejor preocúpate en arreglar tus lios judiciales, limpia primero tu mugre antes de querer defender a un marrano."" 16/04/2026 9:49 0 0 2 17 0 192 Lucha contra la corrupción, antifujimorista hasta el final de mis días. Ah!! también CAVIAR!!! FALSO 19/07/2017 23:42 1738 1277 236305 5695 134184 FALSO FALSO",2026-06-17,
66,"2,04481E+18 luiswolf3d "" Que tal voto cruzado Jeri:",2026-06-17,
67,"Para presidente votan por Roberto Sanchez, pero para el Congreso votan por Rafael López Aliaga. Solo me queda decir lo siguiente """"ONPE haz bien tu fraude que se nota"""". 16/04/2026 11:14 3 0 3 15 1 907 FALSO 21/02/2012 20:50 Lima - Peru 336 1186 37038 352 31742 FALSO FALSO",2026-06-17,
68,"2,04479E+18 EL SHOGUN Osea quieres que nos represente un sujeto que pide que le metan algo por el Kulo al manda mas del Jurado Nacional de Elecciones, a un sujeto que pide que Ejecuten a personas solo por pensar diferente de el, a un sujeto que trata de Mierdas, a mis hermanos del sur, vete a la Mrd. 16/04/2026 9:52 10 0 0 21 0 2402 FALSO 22/01/2011 19:10 Peru 22 265 9825 67 1604 FALSO FALSO",2026-06-17,
69,"2,04479E+18 Mr. Vick como va la investigación de todas la mujeres que entraron a palacio en su gobierno de transición? 16/04/2026 9:35 0 0 0 20 0 359 solo conversar, si necesitas con quien hablar escríbeme. Lima, Trujillo Perú FALSO 07/03/2013 17:59 90 1092 1787 162 6008 FALSO FALSO",2026-06-17,
70,"2,0448E+18 faby "" Que lógica es tu representación?",2026-06-17,
71,Se nota q x la hueveras fuistes Presidente xq no lo conoces tu País. Ignorante 16/04/2026 10:08 3 0 0 19 0 902 FALSO 22/02/2014 23:45 32 77 81009 275 6635 FALSO FALSO,2026-06-17,
72,"2,04479E+18 katherine Ahora tenemos un presidente fantasma ?? llamado Balcarzar 16/04/2026 10:06 1 0 2 12 0 52 AMO LA JUSTICIA, LA LEALTAD, LA DEMOCRACIA, LA LIBERTAD!! ? NO AL COMUNISMO, NO AL TERRORISMO ? FALSO 04/07/2021 19:05 2497 3190 281175 12784 204621 FALSO FALSO",2026-06-17,
73,"2,04479E+18 Confirmándolo ?? Anda a salvar a tus visitadoras,puto ?? 16/04/2026 9:36 0 0 0 16 1 798 ""Preocupado por la situación política, social y económica en mí Perú.",2026-06-17,
74,"#SíguemeYTeSigo ??"" FALSO 10/07/2019 21:39 La Molina, Lima Perú. 973 923 16050 236 5099 FALSO FALSO",2026-06-17,
75,"2,04479E+18 Sheep Ya pero dime quién chota pidió tu opinión 16/04/2026 9:49 0 0 0 15 0 181 ""Abogada.",2026-06-17,
76,"Intolerante a la lactosa y a la intolerancia"" VERDADERO 27/02/2012 22:14 ítaca 2791 567 19269 1999 44182 FALSO FALSO",2026-06-17,
77,"2,0448E+18 El Justiperro. Jajajaja ve este conchadesumadre, con que cara puedes opinar? Peor aún incitando a qué candidato votar en segunda vuelta? Patético 16/04/2026 10:13 0 0 0 15 0 210 digo lo que quiero, detesto la injusticia, me llegan al pncho las personas sin humildad, amante del fútbol y los perros. FALSO 11/11/2022 20:25 perulandia 60 487 16808 805 10412 FALSO FALSO",2026-06-17,
78,"2,0448E+18 Julio Cesar Romero Lo que opine o quiera un violador no le interesa a la ciudadanía. 16/04/2026 10:13 0 0 0 14 0 80 VERDADERO 28/05/2019 15:59 2401 5022 38747 557 62426 FALSO FALSO",2026-06-17,
79,"2,0448E+18 SolOrtega "" Cínico miserable!",2026-06-17,
80,"Uds estando 5 años en este congreso de delincuentes, jamás hicieron algo, menos legislaron para esa gente de la que hoy te llenas la boca en nombrar. Quieres a esos dos corruptos racistas en la final para seguir haciendo tus faenones."" 16/04/2026 10:09 0 0 2 10 0 417 ""Orgullosa de mis raíces, en contra de los corruptos y defensora a muerte de la justicia social!",2026-06-17,
81,"Traductora Jurada Holandés-Español y Español-Holandés"" VERDADERO 16/03/2011 12:37 Holanda. The Netherlands 889 1349 60515 201 60841 FALSO FALSO",2026-06-17,
82,"2,04479E+18 HolderlinPE Pensar que por mensajes como este? tipos como Sánchez acaban llegando a segunda vuelta. Me pregunto si Jerí ha asumido que su rol histórico es la irrelevancia y la mediocridad. 16/04/2026 9:45 0 0 0 14 0 283 Pero el mundo se inventa otra carencia, otro deber de honor, otro derecho, y la costumbre nos va gastando el alma día tras día disimuladamente. FALSO 30/11/2016 22:20 Santiago de Surco, Peru 53 133 174 2225 13363 FALSO FALSO",2026-06-17,
83,"2,04493E+18 RosarioBenavidesAB ???? Tienes buen corazón a pesar que te vacó pides que pase a la segunda vuelta eso habla bien de tí! 16/04/2026 19:08 2 0 0 13 0 146 Derecha conservadora VERDADERO 02/12/2013 18:30 28502 800 233170 12896 77926 FALSO FALSO",2026-06-17,
84,"2,04479E+18 Pewic Más ayuda el que no estorba 16/04/2026 9:33 0 0 0 13 0 86 ?? VERDADERO 05/04/2009 1:27 3971 886 45131 4614 49409 FALSO FALSO",2026-06-17,
85,"2,04479E+18 Mari?? ?? ?? Si tan solo hubieras controlado tus hormonas Pajeri y no reunirte con los chinos saqueadores 16/04/2026 9:34 0 0 1 10 0 54 ""NO dms",2026-06-17,
86,Barça ????,2026-06-17,
87,"Mari & N????"" FALSO 31/08/2021 7:19 Hogwarts 1474 630 153856 1054 65536 FALSO FALSO",2026-06-17,
88,"2,04479E+18 Eros Tú sigue yendo al chifa. 16/04/2026 9:37 0 0 0 12 0 116 Soy muchas de las cosas que la mayoría cuestiona. Me interesan los temas sociales y políticos. Creador de contenido que pueda generar alguna reacción. FALSO 05/04/2011 13:24 Putina, Peru 6214 5905 346115 3548 96641 FALSO FALSO",2026-06-17,
89,"2,0448E+18 Ex Congresista Sin Chamba "" Los hermanos de esas regiones que esperan desarrollo y solución a sus problemas, así como la satisfacción de sus necesidades básicas, precisamente no desean que los gobiernen personas o partidos que nunca los tuvieron en cuenta, que los han terruqueado hasta el cansancio.",2026-06-17,
90,"SOPENCO 16/04/2026 10:45 0 0 2 7 0 863 Hombre, intelectual, dinámico, divertido... no compro seguidores, me siguen los que quieren y sigo a quien yo quiera. Opino a título personal, no tengo partido. VERDADERO 10/02/2012 0:23 Lima, Perú 623 1720 47390 5962 62409 FALSO FALSO",2026-06-17,
91,"2,0448E+18 Eliana O.?? Calla pajero de mierda!!! 16/04/2026 10:14 0 0 0 10 0 98 ?????? Lima//NYC ???? AL/LGM/Knicks ?? Sneaker Freak ???? Frida Kahlo ?? Isabel Allende ?? CUNY York Alumni ????? FALSO 17/03/2014 21:05 Queens, NY 2980 1002 142400 2517 58382 FALSO FALSO",2026-06-17,
92,"2,04478E+18 Diego Bracamonte 100 veces jeri antes que Balcazar....100 veces!!! 16/04/2026 9:19 0 0 0 10 0 74 Publicista,Comunicador Social,Derecha Conservadora,12 años de labor social. Hacemos conciertos y eventos desde hace 11 años. VERDADERO 27/05/2011 16:05 Lima la grey!!!! 959 759 38535 2222 30590 FALSO FALSO",2026-06-17,
93,"2,04478E+18 Jnk BarZev ????????????????????????? Calla PAJERO!!! E IMPOTENTE!!! 16/04/2026 9:27 0 0 0 10 0 91 ""Licenciado en Educación y Relaciones Públicas, #Docente de educación secundaria en Ciencia y Tecnología ??",2026-06-17,
94,#Gamer Nunca más,2026-06-17,
95,"#FujiDinaCerrónAcuñaPorkyAprismo"" VERDADERO 17/11/2009 12:20 Peru 1416 1567 48813 12509 47302 FALSO FALSO",2026-06-17,
96,"2,04478E+18 Mauricio Presi, era que controlaras un toque las formas y llegaras al 28. RLA se puso intransigente y todos sabemos lo que pasó. Tenías potencial para el 2031 al estilo presente de Fujimori. Saludos 16/04/2026 9:26 1 0 0 9 0 985 Derecha. Pro vida y Pro familia. FALSO 19/10/2025 13:57 38 399 5120 8 3241 FALSO FALSO",2026-06-17,
97,"2,0448E+18 ?????????? ????????????????ñ?? ?????????????????? "" Bien ahí.",2026-06-17,
98,"Si alguien dudaba en apoyar a Porky, con tu intromisión el chiflado queda deshechado. ??"" 16/04/2026 10:41 0 0 1 7 0 74 ""Ateo, pro justicia, antifuji, antipolíticoladrón.",2026-06-17,
99,AL?? & Peruvian food ??,2026-06-17,
100,"Al pan pan y al vino, malbec?? Amo al Perú, con sus imperfecciones y todo lo demás."" VERDADERO 07/05/2009 8:22 Lima-Perú 872 1519 57182 828 29658 FALSO FALSO",2026-06-17,
101,"2,04485E+18 Farlo Algo bueno dijo al fin el popular Robbie Rottman de todos somos ?????????????? #PorkyPresidente es nstra voluntad y si y pretenden atentar con nstros votos les daremos una zurra nunca antes vista igual a los rojos que ya están en #Lima jodiendo ????? 16/04/2026 14:02 0 0 1 7 0 613 Emprendedor, la economía de mercado con un manejo responsable y visionario / #CapitalParaTodos / permitiría alcanzar grandes resultados !!!! FALSO 06/05/2021 23:16 Lima / Patriota 80 79 13250 113 18124 FALSO FALSO",2026-06-17,
102,"2,0448E+18 Baron Ashler 16/04/2026 10:37 0 0 0 8 0 54 FALSO 28/08/2020 7:03 Lima, Peru 882 4180 10073 3677 8706 FALSO FALSO",2026-06-17,
103,"2,04479E+18 Carolina S.A. "" La verdad es que RLA y Fujimori forman el pacto mafioso que te llevaron a la presidencia sabiendo tus antecedentes:",2026-06-17,
104,INVESTIGADO POR UNA PRESUNTA VIOLACIÓN QUE FUE ARCHIVADA POR EL CUELLO BLANCO DE ALADINO!,2026-06-17,
105,"REUNIRTE CON EMPRESARIOS CHINOS QUE ESTÁN INVESTIGADOS POR CORRUPTOS."" 16/04/2026 9:59 0 0 0 8 0 65 Orgullosa de haber nacido en este hermoso Perú!!?????????? VERDADERO 20/08/2009 22:10 418 755 190079 865 190859 FALSO FALSO",2026-06-17,
106,"2,04479E+18 ?????????????????????????????????? Presi, consígase una novia para que ande de picaflor ?? 16/04/2026 9:41 0 0 1 6 0 93 Pucallpina, Madre orgullosa de tres, guerrera, emprendedora, #petlover Católica, anticaviar, anticomunista, de derecha, futura abogada y política, #Provida ?? FALSO 13/02/2022 21:03 Santiago de Surco, Peru 2534 2045 318433 3703 49348 FALSO FALSO",2026-06-17,
107,"2,04483E+18 Oxitocina "" ?? tremendo jeropa",2026-06-17,
108,"Defendiendo al otro que pide ser sodomizado a gritos, ya vio lin mejor soluciona tus problemas judiciales y no metas tu cuchara en otros problemas q ya tienes suficiente o no?",2026-06-17,
109,"Comentario de en grupo oculto de telegram, para este y otros rajes únanse a 16/04/2026 12:15 1 0 2 4 0 76 ""=^.^= COMUNISMO IT'S A PARTY ??",2026-06-17,
110,no vale quejarse de las respuestas.,2026-06-17,
111,#IncendiemosElChongreso ??,2026-06-17,
112,Valemadrista.,2026-06-17,
113,"????????????? "" VERDADERO 07/10/2021 18:59 ?????? 668 614 31421 1648 13476 FALSO FALSO",2026-06-17,
114,"2,0448E+18 R Gaara "" Ahí está tu representación del pais de Lopez Aliaga pajerí. ??????",2026-06-17,
115,"Ojalá que investiguen tu enriquecimiento ilícito 16/04/2026 10:42 1 0 1 6 1 475 ""Médico cirujano.",2026-06-17,
116,Intransigente.,2026-06-17,
117,"Te voy a decir tu verdad, así sea crudo.",2026-06-17,
118,"Ni zurdosko, ni Libertarado. Molestoso"" FALSO 29/12/2021 1:54 17 752 3122 178 551 FALSO FALSO",2026-06-17,
119,"2,0449E+18 AGENCIA CONTRACORRUPCCION E INJUSTICIA. ACI PERU "" Que moral tienes JERI, se te pidió sacar al incapaz de SEGUNDO ACHO de ESSALUD,",2026-06-17,
120,"BALCAZAR igual, se le exige sacar a ROSALES militante de APP, con toda la mafia de familias ? en ESSALUD ?",2026-06-17,
121,"La gente muere, no hay gestión, deudas, sin Medicinas, sin Tomógrafos. FUISTE UNA MIERDA 16/04/2026 17:08 1 0 1 6 1 456 Institucion que lucha Contra la Corrupccion ACI PERU. VERDADERO 14/07/2021 16:24 921 1139 84 19960 20143 FALSO FALSO",2026-06-17,
122,"2,04479E+18 Gab ?????? Que representatividad puede tener un candidato que solo ha ganado Lima y que no puede pisar el resto del país? 16/04/2026 9:53 7 0 1 5 0 913 ""El Café, el vino y los libros son una extensión de mi.",2026-06-17,
123,This account is whatever I want it to be.,2026-06-17,
124,"Sincerely and lovingly, Your Little Dictator ????"" VERDADERO 23/05/2010 19:21 Perú 1324 2000 217780 13759 81456 FALSO FALSO",2026-06-17,
125,"2,04479E+18 Rodolfo Carbajal La mierda.... siempre estará al lado de la mierda 16/04/2026 9:54 0 0 0 7 0 63 Psicólogo Social y Educativo, Narrador Oral Escénico, Izquierda, Social Democracia, Servicios Públicos...???????? VERDADERO 14/03/2010 14:17 3374 5232 153269 288 40796 FALSO FALSO",2026-06-17,
126,"2,04479E+18 jota Si claro pq sino bien preso te vas a ir pero si entran tus compinches tendrán 5 años más de impunidad aunque a la chika no le importo ni su hermano con el q creció, crees q tu si le vas a importar 16/04/2026 9:53 0 0 0 7 0 94 ""Si votar hiciera alguna diferencia, no nos dejarían hacerlo. (M. Twain)",2026-06-17,
127,"Solo quiero verte sonreír...??"" FALSO 25/07/2017 2:08 Hogwarts 596 3060 110870 265 43611 FALSO FALSO",2026-06-17,
128,"2,04479E+18 Dadada "" Y eso, amiguitos, se llama ningunear la voluntad popular.",2026-06-17,
129,"El limeño queriendo que su favorito pase aunque los de provincia hayan votado diferente."" 16/04/2026 9:37 4 0 0 7 0 547 VERDADERO 26/12/2014 18:35 83 99 3607 2271 23559 FALSO FALSO",2026-06-17,
130,"2,04479E+18 Milton E. Si tan solo hubiera visto el mapa electoral no hubiera soltado tremenda estupidez... Lopez Aliaga no existe mas allá de Lima. En fin. Felizmente duró poco en la presidencia. 16/04/2026 9:47 0 0 0 7 0 166 VERDADERO 24/03/2009 17:37 Arequipa 234 1278 15152 565 38497 FALSO FALSO",2026-06-17,
131,"2,04483E+18 Ian Rodriguez 16/04/2026 12:25 0 0 1 5 1 406 Engineer in Electronics and Biomedical Systems: MRI, CT, NM, US, DR. Computers enthusiast and addicted to sleeping. Happily married and proud father of Bruno =) VERDADERO 05/04/2011 21:09 Lima 425 2555 126825 1069 2532 FALSO FALSO",2026-06-17,
